City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port macquarie,-31.4333,152.9167,74.89,87,97,8.39,AU,1706545844
1,uturoa,-16.7333,-151.4333,82.78,76,92,3.06,PF,1706545844
2,narasannapeta,18.4167,84.05,69.71,71,41,1.61,IN,1706545845
3,kununurra,-15.7667,128.7333,82.38,83,79,0.0,AU,1706545845
4,new norfolk,-42.7826,147.0587,51.71,97,9,2.98,AU,1706545845
5,rikaze,29.25,88.8833,27.27,20,35,4.5,CN,1706545845
6,klyuchi,52.2667,79.1667,-2.6,98,29,6.11,RU,1706545845
7,georgetown,5.4112,100.3354,84.15,82,20,5.99,MY,1706545846
8,waitangi,-43.9535,-176.5597,60.82,98,85,1.99,NZ,1706545846
9,port lincoln,-34.7333,135.8667,62.74,92,13,10.2,AU,1706545846
10,grytviken,-54.2811,-36.5092,47.59,50,53,11.32,GS,1706545846
11,invercargill,-46.4,168.35,56.01,89,90,4.12,NZ,1706545847
12,port-aux-francais,-49.35,70.2167,39.2,71,81,38.54,TF,1706545847
13,tocopilla,-22.092,-70.1979,75.2,74,12,6.8,CL,1706545847
14,ust'-ordynskiy,52.805,104.7508,-27.67,95,11,6.13,RU,1706545847
15,ribeira grande,38.5167,-28.7,64.8,82,20,17.27,PT,1706545847
16,tiksi,71.6872,128.8694,-10.7,97,98,7.45,RU,1706545848
17,tralee,52.2704,-9.7026,46.65,71,20,8.05,IE,1706545834
18,olonkinbyen,70.9221,-8.7187,22.51,63,100,16.31,SJ,1706545848
19,wailua homesteads,22.0669,-159.378,72.39,90,100,16.11,US,1706545848
20,rio rico,31.4715,-110.9765,64.33,49,0,0.0,US,1706545848
21,ilulissat,69.2167,-51.1,-11.18,64,40,0.0,GL,1706545848
22,jamestown,42.097,-79.2353,35.19,97,100,8.05,US,1706545812
23,st. john's,47.5649,-52.7093,29.28,90,100,8.05,CA,1706545815
24,bethel,41.3712,-73.414,38.57,77,100,16.11,US,1706545655
25,humaita,-7.5061,-63.0208,92.35,54,64,2.51,BR,1706545849
26,tangalle,6.024,80.7911,76.71,88,97,11.34,LK,1706545849
27,arteche,12.2645,125.4048,76.96,84,100,14.0,PH,1706545849
28,puerto natales,-51.7236,-72.4875,64.85,48,75,20.71,CL,1706545849
29,albany,42.6001,-73.9662,34.18,82,100,8.37,US,1706545801
30,ola,59.5833,151.2833,-7.73,83,47,7.2,RU,1706545850
31,kalabo,-14.97,22.6814,82.13,47,28,5.19,ZM,1706545850
32,dunedin,-45.8742,170.5036,58.8,73,47,1.01,NZ,1706545850
33,luganville,-15.5333,167.1667,79.03,83,100,3.78,VU,1706545850
34,manthani,18.65,79.6667,75.04,34,49,3.78,IN,1706545850
35,adamstown,-25.066,-130.1015,75.96,78,100,11.21,PN,1706545850
36,barra,-11.0894,-43.1417,83.21,60,100,4.65,BR,1706545579
37,yuzhno-kurilsk,44.0306,145.8556,27.37,83,22,4.09,RU,1706545851
38,haiku-pauwela,20.9219,-156.3051,75.04,79,100,18.41,US,1706545851
39,ushuaia,-54.8,-68.3,56.82,62,75,24.16,AR,1706545851
40,hawaiian paradise park,19.5933,-154.9731,72.03,89,20,4.61,US,1706545851
41,whitehorse,60.7161,-135.0538,38.17,87,100,17.27,CA,1706545851
42,palikir - national government center,6.9248,158.1611,75.94,100,100,4.61,FM,1706545851
43,hobyo,5.3505,48.5268,79.41,81,29,15.05,SO,1706545852
44,zaraza,9.3503,-65.3245,96.82,28,3,5.73,VE,1706545852
45,bilibino,68.0546,166.4372,-34.64,99,89,1.41,RU,1706545852
